"ID Cliente","Zona","País","Tipo de producto","Canal de venta","Prioridad","Fecha pedido","ID Pedido","Fecha envío","Unidades","Precio Unitario","Coste unitario","Importe venta total","Importe Coste total"
"C8517","Asia","Singapore","Cereales","Online","Crítica","11/18/2020","851753556","1/6/2021","1660","205.7","117.11","341462","194402.6"
"C8103","Asia","South Korea","Verduras","Online","Media","11/19/2020","810342395","1/7/2021","7177","154.06","90.93","1105688.62","652604.61"
"C3105","África","Lebanon","Doméstico","Online","Baja","11/20/2020","310540425","1/8/2021","4668","668.27","502.54","3119484.36","2345856.72"
"C2211","Asia","Myanmar","Frutas","Online","Alta","11/21/2020","221146476","1/9/2021","1011","9.33","6.92","9432.63","6996.12"
"C1312","Asia","Vietnam","Ropa","Online","Alta","11/22/2020","131271874","1/10/2021","5120","109.28","35.84","559513.6","183500.8"
"C6003","África","Jordan","Frutas","Online","Baja","11/23/2020","600340449","1/11/2021","2935","9.33","6.92","27383.55","20310.2"
"C9080","Australia y Oceanía","Palau","Material de oficina","Offline","Baja","11/24/2020","908088529","1/12/2021","2430","651.21","524.96","1582440.3","1275652.8"
"C4045","Centroamérica y Caribe","Antigua and Barbuda ","Cereales","Offline","Crítica","11/25/2020","404564940","1/13/2021","8611","205.7","117.11","1771282.7","1008434.21"
"C7601","Australia y Oceanía","Papua New Guinea","Cuidado personal","Offline","Baja","11/26/2020","760131013","1/14/2021","8513","81.73","56.67","695767.49","482431.71"
"C1154","Centroamérica y Caribe","El Salvador","Ropa","Offline","Media","11/27/2020","115460574","1/15/2021","6205","109.28","35.84","678082.4","222387.2"
"C7315","África","Republic of the Congo","Bebida","Offline","Baja","11/28/2020","731539952","1/16/2021","7783","47.45","31.79","369303.35","247421.57"
"C4396","Australia y Oceanía","Vanuatu","Cárnicos","Online","Crítica","11/29/2020","439667975","1/17/2021","6379","421.89","364.69","2691236.31","2326357.51"
"C2914","Asia","Bangladesh","Ropa","Offline","Baja","11/30/2020","291455972","1/18/2021","7154","109.28","35.84","781789.12","256399.36"
"C5088","África","Burundi","Cereales","Offline","Baja","12/1/2020","508827769","1/19/2021","2299","205.7","117.11","472904.3","269235.89"
"C9340","África","South Sudan","Verduras","Online","Media","12/2/2020","934019696","1/20/2021","6039","154.06","90.93","930368.34","549126.27"
"C5795","África","Mozambique","Bebida","Online","Baja","12/3/2020","579580581","1/21/2021","9628","47.45","31.79","456848.6","306074.12"
"C7783","Centroamérica y Caribe","Saint Kitts and Nevis ","Cárnicos","Online","Crítica","12/4/2020","778371751","1/22/2021","6353","421.89","364.69","2680267.17","2316875.57"
"C2335","África","Rwanda","Verduras","Offline","Media","12/5/2020","233567035","1/23/2021","6531","154.06","90.93","1006165.86","593863.83"
"C8686","África","Rwanda","Bebida","Online","Alta","12/6/2020","868652760","1/24/2021","2510","47.45","31.79","119099.5","79792.9"
"C1774","Europa","Moldova ","Verduras","Offline","Baja","12/7/2020","177427756","1/25/2021","3671","154.06","90.93","565554.26","333804.03"
"C6740","Europa","Austria","Cereales","Offline","Baja","12/8/2020","674003350","1/26/2021","1424","205.7","117.11","292916.8","166764.64"
"C4428","Europa","Spain","Ropa","Offline","Baja","12/9/2020","442803370","1/27/2021","4212","109.28","35.84","460287.36","150958.08"
"C7885","Asia","China","Alimento infantil","Online","Crítica","12/10/2020","788564145","1/28/2021","2509","255.28","159.42","640497.52","399984.78"
"C3863","África","Qatar","Cosméticos","Online","Media","12/11/2020","386334502","1/29/2021","3819","437.2","263.33","1669666.8","1005657.27"
"C2314","Europa","Georgia","Cuidado personal","Online","Crítica","12/12/2020","231475770","1/30/2021","7679","81.73","56.67","627604.67","435168.93"
"C4896","Asia","Kazakhstan","Doméstico","Online","Media","12/13/2020","489661777","1/31/2021","656","668.27","502.54","438385.12","329666.24"
"C9468","África","Namibia","Cuidado personal","Offline","Baja","12/14/2020","946878850","2/1/2021","1348","81.73","56.67","110172.04","76391.16"
"C5594","Centroamérica y Caribe","Jamaica","Cárnicos","Offline","Baja","12/15/2020","559425818","2/2/2021","5386","421.89","364.69","2272299.54","1964220.34"
"C6039","África","Syria","Verduras","Offline","Media","12/16/2020","603914010","2/3/2021","431","154.06","90.93","66399.86","39190.83"
"C6272","África","Tanzania","Frutas","Offline","Crítica","12/17/2020","627267253","2/4/2021","1174","9.33","6.92","10953.42","8124.08"
"C6967","África","Angola","Alimento infantil","Online","Alta","12/18/2020","696721875","2/5/2021","4340","255.28","159.42","1107915.2","691882.8"
"C9498","Asia","China","Cuidado personal","Offline","Baja","12/19/2020","949826705","2/6/2021","3684","81.73","56.67","301093.32","208772.28"
"C2444","Europa","Hungary","Cuidado personal","Offline","Baja","12/20/2020","244443070","2/7/2021","4991","81.73","56.67","407914.43","282839.97"
"C2087","Europa","Norway","Doméstico","Offline","Alta","12/21/2020","208744800","2/8/2021","1080","668.27","502.54","721731.6","542743.2"
"C2912","Australia y Oceanía","Australia","Cárnicos","Offline","Crítica","12/22/2020","291218221","2/9/2021","6798","421.89","364.69","2868008.22","2479162.62"
"C9106","África","Nigeria","Doméstico","Offline","Media","12/23/2020","910662162","2/10/2021","4025","668.27","502.54","2689786.75","2022723.5"
"C3061","Asia","Thailand","Material de oficina","Online","Media","12/24/2020","306187951","2/11/2021","6674","651.21","524.96","4346175.54","3503583.04"
"C3872","Asia","Taiwan","Frutas","Offline","Alta","12/25/2020","387219417","2/12/2021","5685","9.33","6.92","53041.05","39340.2"
"C8834","Asia","India","Verduras","Online","Baja","12/26/2020","883492887","2/13/2021","4033","154.06","90.93","621323.98","366720.69"
"C6950","Europa","Romania","Bebida","Offline","Baja","12/27/2020","695057189","2/14/2021","1723","47.45","31.79","81756.35","54774.17"
"C1422","Australia y Oceanía","East Timor","Cosméticos","Online","Baja","12/28/2020","142273652","2/15/2021","790","437.2","263.33","345388","208030.7"
"C5158","Europa","Bosnia and Herzegovina","Cereales","Online","Baja","12/29/2020","515816104","2/16/2021","303","205.7","117.11","62327.1","35484.33"
"C9266","Europa","Ireland","Cuidado personal","Offline","Baja","12/30/2020","926670873","2/17/2021","1359","81.73","56.67","111071.07","77014.53"
"C5561","Europa","Croatia","Doméstico","Online","Baja","12/31/2020","556136786","2/18/2021","2089","668.27","502.54","1396016.03","1049806.06"
"C9058","África","Iraq","Alimento infantil","Online","Baja","1/1/2021","905825173","2/19/2021","2653","255.28","159.42","677257.84","422941.26"
"C8476","Europa","Malta","Material de oficina","Online","Crítica","1/2/2021","847659862","2/20/2021","245","651.21","524.96","159546.45","128615.2"
"C6738","Europa","Ireland","Cárnicos","Offline","Baja","1/3/2021","673877179","2/21/2021","4087","421.89","364.69","1724264.43","1490488.03"
"C7470","África","Madagascar","Alimento infantil","Online","Baja","1/4/2021","747025954","2/22/2021","435","255.28","159.42","111046.8","69347.7"
"C1499","Europa","Austria","Cosméticos","Online","Media","1/5/2021","149967515","2/23/2021","7575","437.2","263.33","3311790","1994724.75"
"C7358","África","Sierra Leone","Cuidado personal","Offline","Crítica","1/6/2021","735875689","2/24/2021","824","81.73","56.67","67345.52","46696.08"
"C3782","Europa","Netherlands","Material de oficina","Online","Crítica","1/7/2021","378236806","2/25/2021","7531","651.21","524.96","4904262.51","3953473.76"
"C6208","Europa","Croatia","Cosméticos","Offline","Alta","1/8/2021","620849692","2/26/2021","2075","437.2","263.33","907190","546409.75"
"C8278","Centroamérica y Caribe","Trinidad and Tobago","Snacks","Offline","Baja","1/9/2021","827825677","2/27/2021","869","152.58","97.44","132592.02","84675.36"
"C4335","Asia","South Korea","Doméstico","Offline","Crítica","1/10/2021","433588588","2/28/2021","7353","668.27","502.54","4913789.31","3695176.62"
"C2928","Australia y Oceanía","Samoa ","Cárnicos","Offline","Alta","1/11/2021","292874753","3/1/2021","7003","421.89","364.69","2954495.67","2553924.07"
"C4307","Europa","Albania","Material de oficina","Offline","Baja","1/12/2021","430733001","3/2/2021","2322","651.21","524.96","1512109.62","1218957.12"
"C4925","África","Cape Verde","Frutas","Online","Media","1/13/2021","492524659","3/3/2021","7846","9.33","6.92","73203.18","54294.32"
"C1939","Europa","Italy","Bebida","Online","Baja","1/14/2021","193923556","3/4/2021","5145","47.45","31.79","244130.25","163559.55"
"C6709","Europa","Hungary","Bebida","Offline","Baja","1/15/2021","670916020","3/5/2021","7815","47.45","31.79","370821.75","248438.85"
"C4298","Asia","Maldives","Alimento infantil","Offline","Crítica","1/16/2021","429800879","3/6/2021","6486","255.28","159.42","1655746.08","1033998.12"
"C2971","África","Mali","Doméstico","Offline","Alta","1/17/2021","297189462","3/7/2021","3821","668.27","502.54","2553459.67","1920205.34"
"C2700","África","Yemen","Cuidado personal","Online","Media","1/18/2021","270005595","3/8/2021","9511","81.73","56.67","777334.03","538988.37"
"C8654","Asia","North Korea","Snacks","Offline","Baja","1/19/2021","865485608","3/9/2021","5279","152.58","97.44","805469.82","514385.76"
"C8711","Asia","Uzbekistan","Cereales","Offline","Alta","1/20/2021","871178328","3/10/2021","9882","205.7","117.11","2032727.4","1157281.02"
"C4949","Europa","Latvia","Verduras","Online","Baja","1/21/2021","494945085","3/11/2021","4104","154.06","90.93","632262.24","373176.72"
"C9149","Asia","Singapore","Snacks","Offline","Crítica","1/22/2021","914959704","3/12/2021","5764","152.58","97.44","879471.12","561644.16"
"C2297","Europa","Lithuania","Doméstico","Online","Baja","1/23/2021","229708516","3/13/2021","4709","668.27","502.54","3146883.43","2366460.86"
"C2079","África","Senegal","Bebida","Offline","Alta","1/24/2021","207990348","3/14/2021","7821","47.45","31.79","371106.45","248629.59"
"C4389","África","South Sudan","Verduras","Offline","Crítica","1/25/2021","438916528","3/15/2021","4009","154.06","90.93","617626.54","364538.37"
"C5819","Europa","Bulgaria","Alimento infantil","Online","Alta","1/26/2021","581910884","3/16/2021","9217","255.28","159.42","2352915.76","1469374.14"
"C8167","África","Seychelles ","Cárnicos","Offline","Alta","1/27/2021","816709744","3/17/2021","1417","421.89","364.69","597818.13","516765.73"
"C4933","Centroamérica y Caribe","Saint Kitts and Nevis ","Doméstico","Online","Alta","1/28/2021","493361937","3/18/2021","5616","668.27","502.54","3753004.32","2822264.64"
"C3822","Centroamérica y Caribe","Saint Vincent and the Grenadines","Alimento infantil","Offline","Alta","1/29/2021","382228791","3/19/2021","8848","255.28","159.42","2258717.44","1410548.16"
"C4239","Europa","Andorra","Cosméticos","Offline","Baja","1/30/2021","423984134","3/20/2021","5182","437.2","263.33","2265570.4","1364576.06"
"C1796","África","Mali","Cárnicos","Offline","Crítica","1/31/2021","179614293","3/21/2021","716","421.89","364.69","302073.24","261118.04"
"C1804","África","Togo","Cuidado personal","Offline","Media","2/1/2021","180418097","3/22/2021","8579","81.73","56.67","701161.67","486171.93"
"C5780","Asia","Thailand","Cárnicos","Offline","Alta","2/2/2021","578006875","3/23/2021","3934","421.89","364.69","1659715.26","1434690.46"
"C6943","Europa","Moldova ","Doméstico","Online","Alta","2/3/2021","694304454","3/24/2021","8972","668.27","502.54","5995718.44","4508788.88"
"C3715","Centroamérica y Caribe","Trinidad and Tobago","Alimento infantil","Online","Alta","2/4/2021","371547162","3/25/2021","7917","255.28","159.42","2021051.76","1262128.14"
"C4222","Asia","Japan","Bebida","Online","Media","2/5/2021","422283828","3/26/2021","2024","47.45","31.79","96038.8","64342.96"
"C3793","África","Central African Republic","Cereales","Offline","Crítica","2/6/2021","379375779","3/27/2021","4578","205.7","117.11","941694.6","536129.58"
"C7459","África","Azerbaijan","Cuidado personal","Online","Baja","2/7/2021","745996844","3/28/2021","5899","81.73","56.67","482125.27","334296.33"
"C7456","África","Mauritania","Frutas","Offline","Baja","2/8/2021","745633351","3/29/2021","8333","9.33","6.92","77746.89","57664.36"
"C5720","Europa","Portugal","Snacks","Offline","Media","2/9/2021","572084128","3/30/2021","1261","152.58","97.44","192403.38","122871.84"
"C9394","África","Liberia","Bebida","Online","Baja","2/10/2021","939460504","3/31/2021","6095","47.45","31.79","289207.75","193760.05"
"C8321","África","South Sudan","Frutas","Online","Alta","2/11/2021","832186305","4/1/2021","1276","9.33","6.92","11905.08","8829.92"
"C6549","África","Cameroon","Frutas","Online","Baja","2/12/2021","654997861","4/2/2021","7277","9.33","6.92","67894.41","50356.84"
"C8829","Centroamérica y Caribe","Cuba","Cárnicos","Online","Baja","2/13/2021","882943999","4/3/2021","1605","421.89","364.69","677133.45","585327.45"
"C7113","África","Malawi","Frutas","Online","Baja","2/14/2021","711386048","4/4/2021","3795","9.33","6.92","35407.35","26261.4"
"C3059","Australia y Oceanía","Tuvalu","Bebida","Offline","Baja","2/15/2021","305997836","4/5/2021","415","47.45","31.79","19691.75","13192.85"
"C3527","África","Burundi","Cárnicos","Offline","Alta","2/16/2021","352765691","4/6/2021","62","421.89","364.69","26157.18","22610.78"
"C7079","África","Liberia","Verduras","Online","Crítica","2/17/2021","707988440","4/7/2021","8367","154.06","90.93","1289020.02","760811.31"
"C8482","Asia","Turkmenistan","Verduras","Offline","Media","2/18/2021","848277413","4/8/2021","2992","154.06","90.93","460947.52","272062.56"
"C3205","África","Uganda","Doméstico","Online","Media","2/19/2021","320556437","4/9/2021","8628","668.27","502.54","5765833.56","4335915.12"
"C9920","África","Lebanon","Alimento infantil","Online","Alta","2/20/2021","992061841","4/10/2021","1999","255.28","159.42","510304.72","318680.58"
"C3003","Europa","Switzerland","Material de oficina","Online","Media","2/21/2021","300342452","4/11/2021","6861","651.21","524.96","4467951.81","3601750.56"
"C7032","África","Kuwait","Verduras","Online","Alta","2/22/2021","703259599","4/12/2021","8998","154.06","90.93","1386231.88","818188.14"
"C2289","Asia","India","Ropa","Offline","Alta","2/23/2021","228987109","4/13/2021","1229","109.28","35.84","134305.12","44047.36"
"C1260","África","Angola","Cereales","Online","Crítica","2/24/2021","126011312","4/14/2021","8402","205.7","117.11","1728291.4","983958.22"
"C8131","Asia","Uzbekistan","Bebida","Offline","Crítica","2/25/2021","813131034","4/15/2021","2397","47.45","31.79","113737.65","76200.63"
"C5294","Europa","Latvia","Cuidado personal","Offline","Crítica","2/26/2021","529457604","4/16/2021","7126","81.73","56.67","582407.98","403830.42"
"C2844","África","Ghana","Cárnicos","Offline","Media","2/27/2021","284414851","4/17/2021","3530","421.89","364.69","1489271.7","1287355.7"
"C7077","Europa","Poland","Bebida","Online","Crítica","2/28/2021","707739102","4/18/2021","4583","47.45","31.79","217463.35","145693.57"
"C6994","Asia","Mongolia","Cosméticos","Online","Baja","3/1/2021","699479186","4/19/2021","290","437.2","263.33","126788","76365.7"
"C5799","Asia","Vietnam","Cereales","Online","Crítica","3/2/2021","579996430","4/20/2021","2687","205.7","117.11","552715.9","314674.57"
"C7399","Europa","United Kingdom","Cereales","Online","Baja","3/3/2021","739964663","4/21/2021","842","205.7","117.11","173199.4","98606.62"
"C2903","Australia y Oceanía","Vanuatu","Ropa","Offline","Baja","3/4/2021","290370213","4/22/2021","5854","109.28","35.84","639725.12","209807.36"
"C2125","África","Ethiopia","Frutas","Online","Baja","3/5/2021","212511909","4/23/2021","5851","9.33","6.92","54589.83","40488.92"
"C2080","África","Niger","Frutas","Online","Crítica","3/6/2021","208001077","4/24/2021","996","9.33","6.92","9292.68","6892.32"
"C9487","África","Central African Republic","Cuidado personal","Offline","Alta","3/7/2021","948761546","4/25/2021","8480","81.73","56.67","693070.4","480561.6"
"C9270","África","Cape Verde","Snacks","Offline","Crítica","3/8/2021","927029645","4/26/2021","7527","152.58","97.44","1148469.66","733430.88"
"C5053","Norteamérica","United States of America","Cuidado personal","Offline","Crítica","3/9/2021","505354201","4/27/2021","4393","81.73","56.67","359039.89","248951.31"
"C5665","África","Sudan","Frutas","Offline","Crítica","3/10/2021","566596543","4/28/2021","7363","9.33","6.92","68696.79","50951.96"
"C2639","África","Republic of the Congo","Material de oficina","Offline","Crítica","3/11/2021","263930499","4/29/2021","1755","651.21","524.96","1142873.55","921304.8"
"C1708","Australia y Oceanía","Federated States of Micronesia","Frutas","Online","Crítica","3/12/2021","170842397","4/30/2021","4917","9.33","6.92","45875.61","34025.64"
"C9311","África","South Sudan","Frutas","Offline","Baja","3/13/2021","931131064","5/1/2021","1229","9.33","6.92","11466.57","8504.68"
"C1089","África","Cape Verde","Frutas","Online","Media","3/14/2021","108907830","5/2/2021","7102","9.33","6.92","66261.66","49145.84"
"C7385","Australia y Oceanía","Palau","Doméstico","Offline","Alta","3/15/2021","738596522","5/3/2021","5979","668.27","502.54","3995586.33","3004686.66"
"C9749","África","Bahrain","Material de oficina","Offline","Baja","3/16/2021","974933469","5/4/2021","3333","651.21","524.96","2170482.93","1749691.68"
"C8429","África","Algeria","Material de oficina","Offline","Media","3/17/2021","842967498","5/5/2021","1670","651.21","524.96","1087520.7","876683.2"
"C8880","África","Botswana","Cuidado personal","Online","Crítica","3/18/2021","888059937","5/6/2021","5525","81.73","56.67","451558.25","313101.75"
"C8258","África","Seychelles ","Doméstico","Offline","Media","3/19/2021","825884616","5/7/2021","6466","668.27","502.54","4321033.82","3249423.64"
"C8924","África","The Gambia","Material de oficina","Online","Alta","3/20/2021","892427861","5/8/2021","8091","651.21","524.96","5268940.11","4247451.36"
"C4939","África","Guinea-Bissau","Material de oficina","Online","Baja","3/21/2021","493988502","5/9/2021","1030","651.21","524.96","670746.3","540708.8"
"C4571","África","Pakistan","Verduras","Offline","Baja","3/22/2021","457177865","5/10/2021","7945","154.06","90.93","1224006.7","722438.85"
"C7789","África","Mauritania","Cárnicos","Online","Media","3/23/2021","778919780","5/11/2021","8527","421.89","364.69","3597456.03","3109711.63"
"C1764","Asia","Thailand","Material de oficina","Online","Alta","3/24/2021","176450574","5/12/2021","4501","651.21","524.96","2931096.21","2362844.96"
"C1373","África","Afghanistan","Cárnicos","Offline","Media","3/25/2021","137319076","5/13/2021","4621","421.89","364.69","1949553.69","1685232.49"
"C8693","África","The Gambia","Ropa","Online","Baja","3/26/2021","869386613","5/14/2021","9673","109.28","35.84","1057065.44","346680.32"
"C8508","África","Oman","Cárnicos","Offline","Baja","3/27/2021","850827014","5/15/2021","7476","421.89","364.69","3154049.64","2726422.44"
"C8801","África","Burkina Faso","Snacks","Offline","Alta","3/28/2021","880126607","5/16/2021","7876","152.58","97.44","1201720.08","767437.44"
"C9260","África","Cameroon","Ropa","Offline","Media","3/29/2021","926084220","5/17/2021","7755","109.28","35.84","847466.4","277939.2"
"C5778","África","Burkina Faso","Cereales","Online","Alta","3/30/2021","577811181","5/18/2021","6024","205.7","117.11","1239136.8","705470.64"
"C3947","Europa","Serbia","Snacks","Online","Alta","3/31/2021","394731318","5/19/2021","8624","152.58","97.44","1315849.92","840322.56"
"C5565","África","Mauritius ","Doméstico","Offline","Crítica","4/1/2021","556580960","5/20/2021","3529","668.27","502.54","2358324.83","1773463.66"
"C4134","África","Liberia","Material de oficina","Offline","Crítica","4/2/2021","413408935","5/21/2021","5745","651.21","524.96","3741201.45","3015895.2"
"C7355","Europa","Latvia","Cuidado personal","Offline","Crítica","4/3/2021","735576570","5/22/2021","2308","81.73","56.67","188632.84","130794.36"
"C5637","Asia","China","Ropa","Offline","Media","4/4/2021","563757693","5/23/2021","7284","109.28","35.84","795995.52","261058.56"
"C3589","Australia y Oceanía","New Zealand","Verduras","Online","Baja","4/5/2021","358938634","5/24/2021","6773","154.06","90.93","1043448.38","615868.89"
"C6524","África","Sierra Leone","Snacks","Online","Crítica","4/6/2021","652418220","5/25/2021","3904","152.58","97.44","595672.32","380405.76"
"C6958","Europa","Bulgaria","Material de oficina","Online","Crítica","4/7/2021","695807778","5/26/2021","3839","651.21","524.96","2499995.19","2015321.44"
"C7110","África","Somalia","Material de oficina","Offline","Crítica","4/8/2021","711031138","5/27/2021","8769","651.21","524.96","5710460.49","4603374.24"
"C5403","Europa","Spain","Bebida","Offline","Alta","4/9/2021","540324628","5/28/2021","2919","47.45","31.79","138506.55","92795.01"
"C9962","Europa","Cyprus","Cereales","Offline","Media","4/10/2021","996237075","5/29/2021","7544","205.7","117.11","1551800.8","883477.84"
"C7116","África","Namibia","Ropa","Online","Media","4/11/2021","711629807","5/30/2021","5929","109.28","35.84","647921.12","212495.36"
"C1896","Norteamérica","Greenland","Cereales","Offline","Alta","4/12/2021","189676654","5/31/2021","8392","205.7","117.11","1726234.4","982787.12"
"C4538","África","Rwanda","Doméstico","Online","Baja","4/13/2021","453863942","6/1/2021","7281","668.27","502.54","4865673.87","3658993.74"
"C7979","Centroamérica y Caribe","The Bahamas","Material de oficina","Offline","Baja","4/14/2021","797990500","6/2/2021","1977","651.21","524.96","1287442.17","1037845.92"
"C1361","Europa","Germany","Bebida","Online","Alta","4/15/2021","136167657","6/3/2021","3890","47.45","31.79","184580.5","123663.1"
"C1528","Europa","Cyprus","Bebida","Online","Crítica","4/16/2021","152819240","6/4/2021","1464","47.45","31.79","69466.8","46540.56"
"C3526","Europa","Luxembourg","Snacks","Online","Crítica","4/17/2021","352681577","6/5/2021","5171","152.58","97.44","788991.18","503862.24"
"C3108","Australia y Oceanía","Tuvalu","Cereales","Online","Alta","4/18/2021","310803496","6/6/2021","2516","205.7","117.11","517541.2","294648.76"
"C1225","Europa","Bulgaria","Cosméticos","Offline","Baja","4/19/2021","122546327","6/7/2021","3036","437.2","263.33","1327339.2","799469.88"
"C8535","Asia","Bangladesh","Frutas","Offline","Alta","4/20/2021","853583896","6/8/2021","3298","9.33","6.92","30770.34","22822.16"
"C4899","Centroamérica y Caribe","El Salvador","Cuidado personal","Offline","Alta","4/21/2021","489902532","6/9/2021","1901","81.73","56.67","155368.73","107729.67"
"C6878","Asia","China","Verduras","Online","Media","4/22/2021","687801063","6/10/2021","4474","154.06","90.93","689264.44","406820.82"
"C9238","Asia","Mongolia","Cárnicos","Online","Media","4/23/2021","923890817","6/11/2021","8678","421.89","364.69","3661161.42","3164779.82"
"C7450","Australia y Oceanía","Solomon Islands","Frutas","Offline","Alta","4/24/2021","745095622","6/12/2021","9207","9.33","6.92","85901.31","63712.44"
"C2186","África","Mauritania","Cosméticos","Offline","Baja","4/25/2021","218651807","6/13/2021","2783","437.2","263.33","1216727.6","732847.39"
"C3821","Asia","South Korea","Verduras","Online","Media","4/26/2021","382108199","6/14/2021","3162","154.06","90.93","487137.72","287520.66"
"C9933","Asia","Myanmar","Material de oficina","Online","Baja","4/27/2021","993326127","6/15/2021","6130","651.21","524.96","3991917.3","3218004.8"
